Table,State,Distt.,Tehsil,Town,AreaName,Area,Total-Persons,Total-Males,Total-Females,Hindu-Persons,Hindu-Males,Hindu-Females,Muslim-Persons,Muslim-Males,Muslim-Females,Christian-Persons,Christian-Males,Christian-Females,Sikh-Persons,Sikh-Males,Sikh-Females,Buddhist-Persons,Buddhist-Males,Buddhist-Females,Jain-Persons,Jain-Males,Jain-Females,Other-Persons,Other-Males,Other-Females,Unspecified-Persons,Unspecified-Males,Unspecified-Females
C0101,21,395,03159,000000,Sub-District - Kesinga,Total,141365,71241,70124,137262,69184,68078,323,163,160,2503,1239,1264,56,31,25,27,14,13,901,475,426,41,17,24,252,118,134
C0101,21,395,03159,000000,Sub-District - Kesinga,Rural,122126,61397,60729,119168,59923,59245,102,52,50,2322,1157,1165,15,10,5,27,14,13,244,127,117,40,17,23,208,97,111
C0101,21,395,03159,000000,Sub-District - Kesinga,Urban,19239,9844,9395,18094,9261,8833,221,111,110,181,82,99,41,21,20,0,0,0,657,348,309,1,0,1,44,21,23
C0101,21,395,03159,801896,Kesinga (NAC),Urban,19239,9844,9395,18094,9261,8833,221,111,110,181,82,99,41,21,20,0,0,0,657,348,309,1,0,1,44,21,23
C0101,21,395,03160,000000,Sub-District - Madanpur Rampur ,Total,137942,69050,68892,134212,67223,66989,89,46,43,3340,1622,1718,19,6,13,8,4,4,55,29,26,2,0,2,217,120,97
C0101,21,395,03160,000000,Sub-District - Madanpur Rampur ,Rural,130050,65016,65034,126579,63331,63248,78,41,37,3110,1497,1613,19,6,13,8,4,4,55,29,26,2,0,2,199,108,91
C0101,21,395,03160,000000,Sub-District - Madanpur Rampur ,Urban,7892,4034,3858,7633,3892,3741,11,5,6,230,125,105,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6
C0101,21,395,03160,422708,Madanpur Rampur (CT) ,Urban,7892,4034,3858,7633,3892,3741,11,5,6,230,125,105,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6
C0101,21,395,03161,000000,Sub-District - Narala ,Total,109499,54796,54703,108717,54402,54315,87,48,39,379,185,194,13,6,7,7,4,3,20,9,11,0,0,0,276,142,134
C0101,21,395,03161,000000,Sub-District - Narala ,Rural,109499,54796,54703,108717,54402,54315,87,48,39,379,185,194,13,6,7,7,4,3,20,9,11,0,0,0,276,142,134
C0101,21,395,03161,000000,Sub-District - Narala ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03162,000000,Sub-District - Lanjigarh  ,Total,47451,23555,23896,47096,23362,23734,103,48,55,60,34,26,10,3,7,24,18,6,2,1,1,17,7,10,139,82,57
C0101,21,395,03162,000000,Sub-District - Lanjigarh  ,Rural,47451,23555,23896,47096,23362,23734,103,48,55,60,34,26,10,3,7,24,18,6,2,1,1,17,7,10,139,82,57
C0101,21,395,03162,000000,Sub-District - Lanjigarh  ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03163,000000,Sub-District - Biswanathpur ,Total,23395,11365,12030,23165,11253,11912,26,14,12,153,71,82,2,1,1,2,0,2,10,6,4,0,0,0,37,20,17
C0101,21,395,03163,000000,Sub-District - Biswanathpur ,Rural,23395,11365,12030,23165,11253,11912,26,14,12,153,71,82,2,1,1,2,0,2,10,6,4,0,0,0,37,20,17
C0101,21,395,03163,000000,Sub-District - Biswanathpur ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03164,000000,Sub-District - Sadar,Total,219195,110518,108677,214031,107879,106152,2315,1193,1122,1636,823,813,576,296,280,52,25,27,113,59,54,10,3,7,462,240,222
C0101,21,395,03164,000000,Sub-District - Sadar,Rural,150150,75012,75138,148702,74288,74414,264,128,136,866,429,437,84,43,41,29,15,14,3,2,1,1,0,1,201,107,94
C0101,21,395,03164,000000,Sub-District - Sadar,Urban,69045,35506,33539,65329,33591,31738,2051,1065,986,770,394,376,492,253,239,23,10,13,110,57,53,9,3,6,261,133,128
C0101,21,395,03164,801897,Bhawanipatna (M),Urban,69045,35506,33539,65329,33591,31738,2051,1065,986,770,394,376,492,253,239,23,10,13,110,57,53,9,3,6,261,133,128
C0101,21,395,03165,000000,Sub-District - Kegaon ,Total,102668,51395,51273,101779,50977,50802,119,38,81,568,278,290,11,4,7,3,1,2,65,32,33,1,1,0,122,64,58
C0101,21,395,03165,000000,Sub-District - Kegaon ,Rural,102668,51395,51273,101779,50977,50802,119,38,81,568,278,290,11,4,7,3,1,2,65,32,33,1,1,0,122,64,58
C0101,21,395,03165,000000,Sub-District - Kegaon ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03166,000000,Sub-District - Junagarh,Total,181649,90699,90950,180604,90164,90440,553,277,276,192,97,95,25,16,9,22,13,9,17,8,9,1,0,1,235,124,111
C0101,21,395,03166,000000,Sub-District - Junagarh,Rural,161993,80864,81129,161498,80616,80882,102,47,55,153,75,78,12,7,5,22,13,9,1,0,1,0,0,0,205,106,99
C0101,21,395,03166,000000,Sub-District - Junagarh,Urban,19656,9835,9821,19106,9548,9558,451,230,221,39,22,17,13,9,4,0,0,0,16,8,8,1,0,1,30,18,12
C0101,21,395,03166,801898,Junagarh (NAC),Urban,19656,9835,9821,19106,9548,9558,451,230,221,39,22,17,13,9,4,0,0,0,16,8,8,1,0,1,30,18,12
C0101,21,395,03167,000000,Sub-District - Golamunda,Total,78214,39240,38974,77135,38704,38431,52,25,27,802,399,403,13,8,5,16,10,6,6,3,3,1,1,0,189,90,99
C0101,21,395,03167,000000,Sub-District - Golamunda,Rural,78214,39240,38974,77135,38704,38431,52,25,27,802,399,403,13,8,5,16,10,6,6,3,3,1,1,0,189,90,99
C0101,21,395,03167,000000,Sub-District - Golamunda,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03168,000000,Sub-District - Dharamgarh,Total,108110,54437,53673,107346,54071,53275,119,67,52,440,196,244,22,13,9,3,2,1,10,5,5,1,1,0,169,82,87
C0101,21,395,03168,000000,Sub-District - Dharamgarh,Rural,108110,54437,53673,107346,54071,53275,119,67,52,440,196,244,22,13,9,3,2,1,10,5,5,1,1,0,169,82,87
C0101,21,395,03168,000000,Sub-District - Dharamgarh,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03169,000000,Sub-District - Kokasara ,Total,158742,78488,80254,157768,78026,79742,195,86,109,280,157,123,18,9,9,4,0,4,6,3,3,2,1,1,469,206,263
C0101,21,395,03169,000000,Sub-District - Kokasara ,Rural,158742,78488,80254,157768,78026,79742,195,86,109,280,157,123,18,9,9,4,0,4,6,3,3,2,1,1,469,206,263
C0101,21,395,03169,000000,Sub-District - Kokasara ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,21,395,03170,000000,Sub-District - Jayapatna,Total,190799,94204,96595,188929,93281,95648,720,344,376,704,350,354,23,11,12,7,2,5,17,9,8,144,64,80,255,143,112
C0101,21,395,03170,000000,Sub-District - Jayapatna,Rural,184644,90968,93676,183022,90164,92858,650,312,338,537,269,268,23,11,12,6,2,4,17,9,8,140,63,77,249,138,111
C0101,21,395,03170,000000,Sub-District - Jayapatna,Urban,6155,3236,2919,5907,3117,2790,70,32,38,167,81,86,0,0,0,1,0,1,0,0,0,4,1,3,6,5,1
C0101,21,395,03170,424227,Mukhiguda (CT),Urban,6155,3236,2919,5907,3117,2790,70,32,38,167,81,86,0,0,0,1,0,1,0,0,0,4,1,3,6,5,1
C0101,21,395,03171,000000,Sub-District - Thuamul Rampur ,Total,77840,38113,39727,77323,37895,39428,274,103,171,103,43,60,8,4,4,0,0,0,3,0,3,0,0,0,129,68,61
C0101,21,395,03171,000000,Sub-District - Thuamul Rampur ,Rural,77840,38113,39727,77323,37895,39428,274,103,171,103,43,60,8,4,4,0,0,0,3,0,3,0,0,0,129,68,61
C0101,21,395,03171,000000,Sub-District - Thuamul Rampur ,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
